Customer_ID,Name,Age,Gender,Email,Phone,Country,Signup_Date,Purchase_Amount
0dbe572f-2369-4c88-b5f6-70866519aff6,Donna Payne,,F,mendozalaura@rose-harvey.net,001-966-014-8402,,05/29/2024,4642.26
98894d22-2af3-4e6c-be0a-8a8df7c1e5b5,Allen Coleman,50.0,Male,david75@yahoo.com,043-009-1457x86897,India,04/06/2023,2996.82
748f932f-419e-4e66-9365-b69ae5330a79,Mario Shelton,18.0,M,rachelbradford@hotmail.com,(042)839-5536x265,USA,11/17/2024,2821.38
da985fc2-98f2-458e-9bce-756412078bba,William Park,,M,hollandkathleen@conley-garcia.com,001-850-148-8248x210,United States,08/18/2021,3209.81
43e458bd-fdd8-42d0-9c84-f32a1de44d0c,Jeffrey King,,Female,vowen@yahoo.com,088.166.2074x21434,,10/30/2022,3158.25
3d7b950b-dd1a-481a-ae32-e79cdb6a0713,Jonathan Curtis,68.0,Male,quinnmarie@gomez.net,(183)834-8826,India,01/25/2023,2814.99
7e477690-42f9-4d53-a51c-57711489a09a,Carolyn Blair,68.0,Female,lesliekoch@yahoo.com,+1-386-983-7593x35607,U.S.,07/04/2020,926.56
7cec7115-23d6-462e-b49a-a0ed77eb3cb8,Allison Ewing,,Female,kcampbell@perez.biz,4150305596,India,08/14/2023,3914.21
a2432206-20d6-45db-b4f5-5308e5a536a3,Wendy Mitchell,53.0,,thorn@gmail.com,702-615-3123x673,India,02/02/2022,1677.77
776d8d22-8be4-496e-ae72-92035622c427,Andrew Aguilar,,,megancombs@hotmail.com,889-375-4375,India,10/24/2021,4765.1
a3a92e93-aa83-45c8-b834-c031d47955e0,Rick Rodriguez,,F,nfisher@clark.com,001-180-507-6289x688,U.S.,01/01/2021,3807.51
7b4f51fe-98ee-4f3e-922f-9cdb9fd5430a,Leslie Johnson,77.0,M,nathanielfowler@hotmail.com,345-095-9060,,10/28/2024,847.94
5102e82b-176a-4c5a-b60e-66144f9e3f45,Heather Eaton,79.0,,aadams@yahoo.com,578.579.2106x36444,USA,05/15/2024,1731.28
f324430c-5953-4b95-af27-0f562962c7b7,Crystal Perry,,Male,ymoore@adams.com,001-730-445-5863,IN,04/04/2024,2674.2
a34500a1-a395-408e-9f68-6254962ae5d9,Frances Roach,35.0,F,bowenjason@mann.com,+1-204-975-6758x51769,United States,12/23/2022,3968.88
534eebdf-08f8-44be-ad01-5f16d7a4f7aa,Thomas Cardenas,44.0,,emily13@yahoo.com,666-459-3032x8810,India,04/16/2021,1782.61
25885c23-3753-4aa1-b203-f390282ad186,Madison Ruiz,,Male,ncuevas@hanson-parker.info,816.981.5586x8275,India,06/27/2021,4791.19
6c7eaab1-57ca-4583-97fc-7bbfbcc077de,Lawrence Castro,,M,kentrobert@gmail.com,119-624-8695,,10/11/2022,4918.54
da15a26e-a881-4737-8701-f824a80e8c57,Timothy Kim,,Female,russell96@yahoo.com,(373)555-8814,India,11/05/2024,4978.31
92021c73-684b-433f-8c53-adc10107779c,Tom Bird,,Female,yhernandez@yahoo.com,506-349-1424x1822,,07/24/2022,550.19
ffeecbb5-1dc2-405b-8e7a-3ecbbcfe004d,Julie Holland,,Female,cathywells@yahoo.com,(459)900-6116,,02/25/2024,4715.01
6ab7b81d-52a4-4549-88c1-ee03385e91e2,Raymond Murphy,,Male,xpham@hotmail.com,+1-023-286-9610x86323,India,12/09/2024,2377.33
cecf022a-fc93-40e6-b0f2-1a7d7e43f4dd,Faith Doyle,65.0,Male,susanharris@hotmail.com,357.016.0290x1731,IN,01/26/2024,2882.97
062cabe2-731a-4920-b745-f563cdded57c,Rebecca Hudson,56.0,,woodscarl@campos-miller.com,748.964.7096x9091,IN,02/16/2021,3357.98
d3b83585-3cc4-4c70-bec9-64ffecd41740,Patricia Turner,23.0,,gsolomon@young.com,001-709-371-2904x9566,United States,04/16/2020,1202.96
00764c52-872c-480c-9ad4-3c10ba77839a,Kenneth Foster DDS,18.0,F,zachary90@gmail.com,(441)719-8897,U.S.,10/07/2021,189.65
aa04ddff-254f-4de6-b89b-c5f59d907aae,Rachel Green,,Male,ortegascott@hotmail.com,721.192.3161x0933,IN,05/01/2023,4632.35
35f62350-f82c-45ea-b02f-51b9ac33c1e0,Margaret Castillo,,M,zwalker@gmail.com,527-391-7762,IN,06/05/2024,2696.92
a128a033-c180-4d84-a876-6b00788f72a4,Richard Rodgers,76.0,Male,everettdavid@gmail.com,897-877-2725x87697,India,06/09/2023,3532.98
21367ae6-9bce-4bb3-88ae-34af6a3ef57a,Yolanda Cohen,,,jyoung@roberts.org,(754)383-5597x55067,India,05/23/2020,3170.0
5f4206b6-e65e-431c-81b9-ba2bb0ea62e7,Corey Jenkins,79.0,M,katelyn92@wallace.com,001-582-646-7568x611,United States,04/18/2021,3190.62
d8a141c7-c996-480a-81e3-6720a3d08db1,Robert Parks,29.0,M,burtonraymond@russell.net,082.751.9486,United States,10/16/2021,4580.92
5a084a20-39c8-4b13-9450-7a6cc7f9005c,Andrea Arnold,,Female,david91@carson.com,104.743.1997x4169,,04/14/2022,182.61
71361186-16c2-420f-b3f7-c9a632cc21af,William Roberts,65.0,F,pagechase@rivera.com,(433)826-7956x96172,India,01/29/2025,643.19
8d996608-aad3-4c27-9884-c1300bd8c230,Kathy Fleming,35.0,,adriansalinas@scott.org,001-136-159-7599,,06/19/2024,1540.41
9217ff78-fac9-4522-b343-5f21e6fb3083,Charles Reyes,,F,shaun66@gmail.com,+1-243-206-3042x4370,India,11/13/2020,1501.14
